ral_id,In2Lt
line_21,ST
line_26,INV
line_28,ST
line_31,ST
line_32,INV
line_38,ST
line_40,ST
line_41,ST
line_42,ST
line_45,ST
line_48,ST
line_49,ST
line_57,ST
line_59,ST
line_69,ST
line_73,ST
line_75,ST
line_83,ST
line_85,INV/ST
line_88,INV/ST
line_91,ST
line_93,INV
line_100,INV/ST
line_101,INV/ST
line_105,ST
line_109,INV/ST
line_129,ST
line_136,ST
line_138,ST
line_142,ST
line_149,ST
line_153,ST
line_158,ST
line_161,INV
line_176,ST
line_177,ST
line_181,ST
line_189,ST
line_195,ST
line_208,ST
line_217,ST
line_223,ST
line_227,ST
line_228,ST
line_229,ST
line_233,INV
line_235,ST
line_237,INV/ST
line_239,ST
line_256,ST
line_280,ST
line_287,ST
line_301,INV/ST
line_303,INV/ST
line_304,ST
line_306,ST
line_307,ST
line_309,ST
line_310,ST
line_313,INV
line_315,ST
line_317,ST
line_318,ST
line_319,ST
line_320,ST
line_321,ST
line_324,ST
line_325,ST
line_332,ST
line_335,ST
line_336,INV/ST
line_338,INV/ST
line_340,ST
line_348,INV
line_350,INV
line_352,INV/ST
line_354,ST
line_355,ST
line_356,ST
line_357,ST
line_358,INV
line_359,INV
line_360,ST
line_361,ST
line_362,ST
line_365,ST
line_367,ST
line_370,ST
line_371,ST
line_373,ST
line_374,ST
line_375,ST
line_377,INV/ST
line_379,ST
line_380,ST
line_381,INV/ST
line_382,ST
line_383,INV
line_385,ST
line_386,INV
line_390,INV
line_391,ST
line_392,ST
line_395,ST
line_397,ST
line_399,ST
line_405,INV/ST
line_406,INV
line_409,ST
line_426,INV/ST
line_427,ST
line_437,ST
line_439,ST
line_440,ST
line_441,ST
line_443,INV/ST
line_461,ST
line_486,ST
line_491,ST
line_492,INV/ST
line_502,INV/ST
line_505,ST
line_508,ST
line_509,ST
line_513,ST
line_517,ST
line_528,INV/ST
line_530,ST
line_531,ST
line_535,ST
line_551,ST
line_555,ST
line_559,ST
line_563,INV/ST
line_566,ST
line_584,INV
line_589,ST
line_595,INV/ST
line_596,ST
line_627,INV
line_630,INV
line_634,ST
line_639,ST
line_642,ST
line_646,ST
line_703,ST
line_705,ST
line_707,ST
line_712,ST
line_714,ST
line_716,ST
line_721,ST
line_727,ST
line_730,ST
line_732,ST
line_737,ST
line_738,ST
line_748,INV
line_757,ST
line_761,ST
line_765,ST
line_774,ST
line_776,ST
line_783,ST
line_786,ST
line_787,ST
line_790,ST
line_796,ST
line_799,ST
line_801,ST
line_802,INV/ST
line_804,ST
line_805,ST
line_808,ST
line_810,ST
line_812,INV/ST
line_818,ST
line_819,ST
line_820,ST
line_821,ST
line_822,ST
line_832,ST
line_837,INV
line_843,ST
line_849,INV/ST
line_850,ST
line_852,ST
line_853,ST
line_855,ST
line_857,ST
line_859,ST
line_861,ST
line_879,ST
line_882,ST
line_884,ST
line_887,ST
line_890,ST
line_892,ST
line_894,INV/ST
line_897,ST
line_900,ST
line_907,ST
line_908,ST
line_911,ST
line_913,ST